judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,sinopsis_final
Kidou Keisatsu Patlabor: On Television,7.69,"Comedy, Sci-Fi, Adult Cast, Mecha, Workplace",https://cdn.myanimelist.net/images/anime/1739/144310.jpg,Winter 1990,TV,"In the future, advanced robotics has created heavy robots (""labors"") for use in a variety of functions: construction, fire-fighting, military, and more. However, though the robots are only machines, their operators are also only human—and humans sometimes turn to crime. Since a heavy labor unit can be a dangerous weapon, the police of the future are set to fight fire with fire, using advanced patrol labor units, ""patlabors."" This is the story of the Second Special Vehicles Division, a motley crew of patlabor policemen and women doing their best to fight crime and live a normal life.

(Source: ANN)",Sunrise,in the future advanced robotics has created heavy robots labors for use in a variety of functions construction firefighting military and more however though the robots are only machines their operators are also only human and humans sometimes turn to crime since a heavy labor unit can be a dangerous weapon the police of the future are set to fight fire with fire using advanced patrol labor units patlabors this is the story of the second special vehicles division a motley crew of patlabor policemen and women doing their best to fight crime and live a normal life source ann
Yawara!,7.49,"Comedy, Romance, Sports",https://cdn.myanimelist.net/images/anime/4/44864.jpg,Winter 1990,TV,"High school student Yawara Inokuma lives a completely happy and ordinary life. She aspires to an average lifestyle as a delicate young lady with a handsome boyfriend in the near future.

Unfortunately for Yawara, she has an undesirable prodigious talent in Judo, a modern martial art that is neither feminine nor fashionable. Moreover, Yawara is the only granddaughter of the seventh dan Judo master Jigorou Inokuma, who expects her to become a Japanese Judoka superstar of the '90s.

Yawara cautiously hides her strength from everyone to maintain a normal reputation but is often pushed to situations when she must exercise her Judo skills. Observing Yawara's immense potential from the shadows, Kousaku Matsuda, a sports reporter from a substandard paper, is willing to do everything he can to bring her into the limelight.

[Written by MAL Rewrite]",Madhouse,high school student yawara inokuma lives a completely happy and ordinary life she aspires to an average lifestyle as a delicate young lady with a handsome boyfriend in the near future unfortunately for yawara she has an undesirable prodigious talent in judo a modern martial art that is neither feminine nor fashionable moreover yawara is the only granddaughter of the seventh judo master jigorou inokuma who expects her to become a japanese judoka superstar of the s yawara cautiously hides her strength from everyone to maintain a normal reputation but is often pushed to situations when she must exercise her judo skills observing yawaras immense potential from the shadows kousaku matsuda a sports reporter from a substandard paper is willing to do everything he can to bring her into the limelight written by mal rewrite
Sazae-san,6.16,"Comedy, Slice of Life",https://cdn.myanimelist.net/images/anime/1008/98996.jpg,Winter 1990,TV,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",Eiken,the main character is a mother named sazaesan she lives in a house with her husband her kids and her parents the show is the ultimate family program and tends to follow traditional themes think of this show as the japanese equivalent to the partridge family and youll get a good feel for this shows atmosphere dont expect to see things like violence swearing kungfu action or magical girls the plots are more like today sazaesan goes to the new mall and gets lost such boring plotlines and the simplistic art are often a turnoff to nonjapanese audiences but most japanese find the show incredibly good as a result it continues to be one of the top ratings grabbers on tv and is one of the few anime that is considered acceptable by adults source anidb
Jungle Book Shounen Mowgli,6.99,"Adventure, Drama",https://cdn.myanimelist.net/images/anime/5/12752.jpg,Winter 1990,TV,"After his parents died, Mowgli is raised by the Wolf Pack of the Seeonee Forest led by Akela and other wild animals such as Bagheera and Baloo. The young boy goes through several heartwarming, bittersweet, and life-threatening adventures as he seeks after his true purpose in life. And one of many dangers he has to face is the man-eating tiger, Shere Khan...

(Source: ANN)",Nippon Animation,after his parents died mowgli is raised by the wolf pack of the seeonee forest led by akela and other wild animals such as bagheera and baloo the young boy goes through several heartwarming bittersweet and lifethreatening adventures as he eks after his true purpose in life and one of many dangers he has to face is the maneating tiger shere khan source ann
Warau Salesman,6.88,"Comedy, Drama, Supernatural, Adult Cast, Psychological",https://cdn.myanimelist.net/images/anime/5/61389.jpg,Winter 1990,TV,"Each episode follows Fukuzou Moguro, a traveling salesman, and his current customer. Moguro deals in things that give his customers their heart's desire, and once his deals are made and their unhealthy desires are satisfied, Moguro's customers are often left with terrible repercussions, especially if they break the rules of his deals...",Shin-Ei Animation,each episode follows fukuzou moguro a traveling salesman and his current customer moguro deals in things that give his customers their hearts desire and once his deals are made and their unhealthy desires are satisfied moguros customers are often left with terrible repercussions especially if they break the rules of his deals
Idol Densetsu Eriko,6.89,"Idols (Female), Music",https://cdn.myanimelist.net/images/anime/11/20173.jpg,Winter 1990,TV,"Eriko Tamura is Kousuke Tamura, the chairman of Tamura Productions (reknown music company) and Minako Tamura's (former famous idol singer) only daughter. Having talent for singing since birth, she has always loved her parent's media world. Then one day tragedy strikes when her parents get into a horrible car accident, which kills her father and leaves her mother in coma. She is left in her father's best friend, Mr. Uchida's care. Now Eriko must take the path of singing, a path her parents did not want her to pursue. Then her uncle is out to destroy her career. But in spite of all the hardship, she becomes an idol and wins hearts all over Japan.

(Source: ANN)",Ashi Productions,eriko tamura is kousuke tamura the chairman of tamura productions reknown music company and minako tamuras former famous idol singer only daughter having talent for singing since birth she has always loved her parents media world then one day tragedy strikes when her parents get into a horrible car accident which kills her father and leaves her mother in coma she is left in her fathers best friend mr uchidas care now eriko must take the path of singing a path her parents did not want her to pursue then her uncle is out to destroy her career but in spite of all the hardship she becomes an idol and wins hearts all over japan source ann
Kiteretsu Daihyakka,6.89,"Comedy, Drama",https://cdn.myanimelist.net/images/anime/1872/133507.jpg,Winter 1990,TV,"The main character is a scientific genius boy named Kiteretsu, who has built a companion robot named Korosuke. He frequently travels in time with his friends and Korosuke in the time machine he built. Miyoko is a girl in his neighborhood who is basically his girlfriend. Tongari is his rival, who happen to share some similar traits of Honekawa Suneo. Buta Gorilla (Kumada Kaoru) is a typical neighborhood bully, who also share similar traits of Gian (Takeshi Goda) except that he often antagonizes Korosuke (though they are in grade school).

(Source: Wikipedia)",Gallop,the main character is a scientific genius boy named kiteretsu who has built a companion robot named korosuke he frequently travels in time with his friends and korosuke in the time machine he built miyoko is a girl in his neighborhood who is basically his girlfriend tongari is his rival who happen to share some similar traits of honekawa suneo buta gorilla mada kaoru is a typical neighborhood bully who also share similar traits of gian takeshi goda except that he often antagonizes korosuke though they are in grade school source wikipedia
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,7.36,"Adventure, Comedy, Drama, Fantasy",https://cdn.myanimelist.net/images/anime/1016/125157.jpg,Winter 1990,TV,"The series covers the life of a Dutch duck named Alfred J Kwak from the day he is born. He lost his parents, brothers, and sisters when he was young and was raised by a mole. In his life, Alfred tries to help all sorts of animals all over the world. The series is meant to entertain children and teach children about life, covering historical aspects like WWII.

(Source: AniDB, edited)",Telescreen,the series covers the life of a dutch duck named alfred j kwak from the day he is born he lost his parents brothers and sisters when he was young and was raised by a mole in his life alfred tries to help all sorts of animals all over the world the series is meant to entertain children and teach children about life covering historical aspects like wwii source anidb edited
Jungle Taitei (1989),6.71,"Adventure, Drama",https://cdn.myanimelist.net/images/anime/6/75997.jpg,Winter 1990,TV,"Leo (a.k.a. Kimba in the U.S.) is a young ambitious lion cub who takes his father's place as emperor of the jungle when is father is killed by poachers. Even though his father's fate was met by the hands of humans, Leo is one of the few animals in the Jungle that doesn't fear or feel hatred toward humans. He is not alone either, he is guided by friends of his father to help create the best animal kingdom there can be. 

(Source: ANN)",Tezuka Productions,leo aka kimba in the us is a young ambitious lion cub who takes his fathers place as emperor of the jungle when is father is killed by poachers even though his fathers fate was met by the hands of humans leo is one of the few animals in the jungle that doesnt fear or feel hatred toward humans he is not alone either he is guided by friends of his father to help create the best animal kingdom there can be source ann
Oishinbo,7.02,"Comedy, Gourmet, Slice of Life",https://cdn.myanimelist.net/images/anime/1681/109663.jpg,Winter 1990,TV,"Oishinbo is a drama about newspaper reporters. The main character is a cynical food critic named Yamaoka. Oishinbo is a popular mainstream comic for adults in Japan. It is even mentioned in an episode of ""Iron Chef.""

(Source: AniDB)",Shin-Ei Animation,oishinbo is a drama about newspaper reporters the main character is a cynical food critic named yamaoka oishinbo is a popular mainstream comic for adults in japan it is even mentioned in an episode of iron chef source anidb
